###################################################
# Fig. 3. Invariant pT-spectra in Cu+Au at 200 GeV#
###################################################
#
#### Insert (a): pi0 Invariant pT-Spectra in different centrality intervals of Cu+Au collisions at 200 GeV
#
#p_T (GeV/c)  Inv. Yield ((GeV/c)^{-2})  Stat. + Syst. A          Syst. B          Syst. C  
#Minimum Bias 
!1
        1.25               5.240061e-01     8.666846e-03     2.479332e-02     2.724832e-02  
        1.75               9.060204e-02     1.115351e-03     4.740191e-03     4.711306e-03  
        2.25               1.829509e-02     1.898835e-04     1.072518e-03     9.513445e-04  
        2.75               4.407103e-03     4.225537e-05     2.581354e-04     2.291694e-04  
        3.25               1.253962e-03     1.126056e-05     8.253629e-05     6.520605e-05  
        3.75               3.987261e-04     3.404332e-06     2.938484e-05     2.073376e-05  
        4.25               1.448726e-04     1.207851e-06     1.067845e-05     7.533376e-06  
        4.75               5.801032e-05     4.736954e-07     4.275222e-06     3.016537e-06  
        5.25               2.631398e-05     2.098626e-07     2.159163e-06     1.368327e-06  
        5.75               1.240795e-05     1.008402e-07     1.018136e-06     6.452136e-07  
        6.25               6.331709e-06     5.381894e-08     5.195637e-07     3.292489e-07  
        6.75               3.367263e-06     3.105426e-08     2.762834e-07     1.750977e-07  
        7.25               1.912208e-06     1.914488e-08     1.569121e-07     9.943481e-08  
        7.75               1.099707e-06     1.233181e-08     9.024425e-08     5.718477e-08  
        8.25               6.714349e-07     7.510051e-09     6.167950e-08     3.491461e-08  
        8.75               4.230109e-07     5.056911e-09     3.911104e-08     2.199657e-08  
        9.25               2.634574e-07     3.676483e-09     2.422498e-08     1.369978e-08  
        9.75               1.823898e-07     2.682878e-09     1.681249e-08     9.484268e-09  
          11               6.783677e-08     7.071644e-10     6.902185e-09     3.527512e-09  
          13               1.905459e-08     3.417906e-10     2.027787e-09     9.908388e-10  
          15               6.200235e-09     1.860336e-10     6.983485e-10     3.224122e-10  
          17               2.223254e-09     1.168828e-10     2.759450e-10     1.156092e-10  
          19               8.200898e-10     7.705774e-11     1.104382e-10     4.264467e-11  
#  0-10%
!2 
        1.25               1.557483e+00     4.765460e-02     7.773346e-02     8.098910e-02  
        1.75               2.721961e-01     6.336102e-03     1.487183e-02     1.415420e-02  
        2.25               5.213248e-02     1.057716e-03     3.143003e-03     2.710889e-03  
        2.75               1.219638e-02     2.300750e-04     7.341408e-04     6.342115e-04  
        3.25               3.374237e-03     6.043219e-05     2.269279e-04     1.754603e-04  
        3.75               1.033913e-03     1.796229e-05     7.746134e-05     5.376347e-05  
        4.25               3.622775e-04     6.190894e-06     2.716523e-05     1.883843e-05  
        4.75               1.429920e-04     2.400209e-06     1.071301e-05     7.435584e-06  
        5.25               6.665891e-05     1.095940e-06     5.545921e-06     3.466263e-06  
        5.75               3.182832e-05     5.278999e-07     2.650707e-06     1.655072e-06  
        6.25               1.585190e-05     2.774135e-07     1.318297e-06     8.242990e-07  
        6.75               8.471025e-06     1.588239e-07     7.049531e-07     4.404933e-07  
        7.25               4.869476e-06     9.717139e-08     4.059667e-07     2.532127e-07  
        7.75               2.785506e-06     6.117609e-08     2.320957e-07     1.448463e-07  
        8.25               1.753189e-06     3.849737e-08     1.631681e-07     9.116584e-08  
        8.75               1.052392e-06     2.505663e-08     9.849127e-08     5.472440e-08  
        9.25               6.653809e-07     1.801907e-08     6.195874e-08     3.459981e-08  
        9.75               4.679307e-07     1.335881e-08     4.376681e-08     2.433239e-08  
          11               1.759354e-07     3.561123e-09     1.806461e-08     9.148642e-09  
          13               4.940098e-08     1.657211e-09     5.299652e-09     2.568851e-09  
          15               1.674712e-08     8.560603e-10     1.965008e-09     8.708502e-10  
          17               5.993793e-09     5.487943e-10     7.854468e-10     3.116772e-10  
          19               2.406734e-09     3.800234e-10     3.474173e-10     1.251502e-10  
#10-20% 
! 3
        1.25               1.167344e+00     3.408405e-02     5.615334e-02     6.070189e-02  
        1.75               1.961765e-01     4.268852e-03     1.030669e-02     1.020118e-02  
        2.25               4.038805e-02     7.455935e-04     2.382856e-03     2.100178e-03  
        2.75               9.682164e-03     1.717299e-04     5.678442e-04     5.034725e-04  
        3.25               2.631022e-03     4.410994e-05     1.736093e-04     1.368131e-04  
        3.75               8.456334e-04     1.366566e-05     6.242649e-05     4.397293e-05  
        4.25               3.064322e-04     4.848136e-06     2.263319e-05     1.593448e-05  
        4.75               1.205177e-04     1.919082e-06     8.891587e-06     6.266922e-06  
        5.25               5.350559e-05     8.365743e-07     4.395543e-06     2.782291e-06  
        5.75               2.521340e-05     4.007794e-07     2.070265e-06     1.311097e-06  
        6.25               1.315626e-05     2.226754e-07     1.081667e-06     6.841257e-07  
        6.75               6.927400e-06     1.259925e-07     5.697989e-07     3.602248e-07  
        7.25               3.896696e-06     7.823037e-08     3.200847e-07     2.026282e-07  
        7.75               2.228511e-06     5.008052e-08     1.834405e-07     1.158826e-07  
        8.25               1.409517e-06     2.990879e-08     1.298880e-07     7.329486e-08  
        8.75               8.957651e-07     2.044848e-08     8.310372e-08     4.657978e-08  
        9.25               5.631575e-07     1.456959e-08     5.202194e-08     2.928419e-08  
        9.75               3.750898e-07     1.061752e-08     3.475912e-08     1.950467e-08  
          11               1.404935e-07     3.024025e-09     1.430679e-08     7.305664e-09  
          13               4.202379e-08     1.403579e-09     4.506143e-09     2.185237e-09  
          15               1.179917e-08     7.279520e-10     1.365841e-09     6.135570e-10  
          17               4.713260e-09     4.805247e-10     6.037035e-10     2.450895e-10  
          19               1.679296e-09     3.109121e-10     2.308146e-10     8.732337e-11  
#  0-20%
! 4 
        1.25               1.362523e+00     3.106076e-02     6.718303e-02     7.085120e-02  
        1.75               2.348512e-01     4.018315e-03     1.269510e-02     1.221226e-02  
        2.25               4.648328e-02     6.789077e-04     2.795525e-03     2.417131e-03  
        2.75               1.094643e-02     1.501402e-04     6.569241e-04     5.692145e-04  
        3.25               3.009312e-03     3.908462e-05     2.020219e-04     1.564842e-04  
        3.75               9.414698e-04     1.177486e-05     7.047012e-05     4.895643e-05  
        4.25               3.353802e-04     4.120519e-06     2.511547e-05     1.743977e-05  
        4.75               1.318853e-04     1.607160e-06     9.870169e-06     6.858036e-06  
        5.25               6.021373e-05     7.186259e-07     5.003949e-06     3.131114e-06  
        5.75               2.859512e-05     3.457645e-07     2.376628e-06     1.486946e-06  
        6.25               1.453482e-05     1.861309e-07     1.207898e-06     7.558107e-07  
        6.75               7.722076e-06     1.062964e-07     6.419170e-07     4.015480e-07  
        7.25               4.392098e-06     6.553616e-08     3.651068e-07     2.283891e-07  
        7.75               2.506957e-06     4.171054e-08     2.084631e-07     1.303618e-07  
        8.25               1.585366e-06     2.579190e-08     1.472800e-07     8.243905e-08  
        8.75               9.761759e-07     1.710837e-08     9.119631e-08     5.076115e-08  
        9.25               6.139510e-07     1.235578e-08     5.705014e-08     3.192545e-08  
        9.75               4.206615e-07     9.133343e-09     3.922461e-08     2.187440e-08  
          11               1.576396e-07     2.459580e-09     1.617083e-08     8.197258e-09  
          13               4.577757e-08     1.152040e-09     4.902501e-09     2.380433e-09  
          15               1.471963e-08     5.920663e-10     1.703902e-09     7.654206e-10  
          17               5.440919e-09     3.823692e-10     6.951975e-10     2.829278e-10  
          19               2.015804e-09     2.540346e-10     2.784666e-10     1.048218e-10  
#20-40%
! 5 
        1.25               6.884779e-01     1.376498e-02     3.271845e-02     3.580085e-02  
        1.75               1.182099e-01     1.775063e-03     6.187518e-03     6.146913e-03  
        2.25               2.422616e-02     3.096778e-04     1.420833e-03     1.259760e-03  
        2.75               5.866376e-03     7.059777e-05     3.437650e-04     3.050516e-04  
        3.25               1.750756e-03     2.001013e-05     1.152738e-04     9.103930e-05  
        3.75               5.512235e-04     6.016941e-06     4.063792e-05     2.866362e-05  
        4.25               2.038079e-04     2.231035e-06     1.502654e-05     1.059801e-05  
        4.75               8.387110e-05     9.186183e-07     6.186786e-06     4.361297e-06  
        5.25               3.680378e-05     3.985613e-07     3.020991e-06     1.913796e-06  
        5.75               1.744034e-05     1.986353e-07     1.431761e-06     9.068977e-07  
        6.25               8.754404e-06     1.073308e-07     7.187944e-07     4.552290e-07  
        6.75               4.738443e-06     6.542785e-08     3.888833e-07     2.463990e-07  
        7.25               2.668719e-06     4.148933e-08     2.191899e-07     1.387734e-07  
        7.75               1.583709e-06     2.796089e-08     1.301695e-07     8.235289e-08  
        8.25               9.116093e-07     1.568095e-08     8.378098e-08     4.740368e-08  
        8.75               6.007318e-07     1.122758e-08     5.563859e-08     3.123805e-08  
        9.25               3.734201e-07     8.202839e-09     3.441718e-08     1.941785e-08  
        9.75               2.586066e-07     6.071012e-09     2.390687e-08     1.344754e-08  
          11               9.754758e-08     1.677013e-09     9.933448e-09     5.072474e-09  
          13               2.637531e-08     7.770073e-10     2.819533e-09     1.371516e-09  
          15               8.375190e-09     4.345428e-10     9.613594e-10     4.355099e-10  
          17               2.914523e-09     2.580578e-10     3.740818e-10     1.515552e-10  
          19               1.273063e-09     1.888599e-10     1.785142e-10     6.619926e-11  
#40-60%
! 6 
        1.25               2.726216e-01     4.979389e-03     1.226798e-02     1.417632e-02  
        1.75               4.892485e-02     6.648663e-04     2.456736e-03     2.544092e-03  
        2.25               1.037562e-02     1.210217e-04     5.888085e-04     5.395323e-04  
        2.75               2.625704e-03     2.807488e-05     1.489825e-04     1.365366e-04  
        3.25               7.786919e-04     7.968133e-06     4.996171e-05     4.049198e-05  
        3.75               2.603169e-04     2.569164e-06     1.880824e-05     1.353648e-05  
        4.25               9.670920e-05     9.530124e-07     6.987783e-06     5.028878e-06  
        4.75               3.891841e-05     3.969068e-07     2.812481e-06     2.023757e-06  
        5.25               1.794903e-05     1.886512e-07     1.449671e-06     9.333496e-07  
        5.75               8.298796e-06     9.620972e-08     6.701055e-07     4.315374e-07  
        6.25               4.314204e-06     5.608458e-08     3.485897e-07     2.243386e-07  
        6.75               2.253481e-06     3.485761e-08     1.819771e-07     1.171810e-07  
        7.25               1.283944e-06     2.285580e-08     1.038077e-07     6.676509e-08  
        7.75               7.558810e-07     1.601790e-08     6.117237e-08     3.930581e-08  
        8.25               4.275904e-07     8.658029e-09     3.882153e-08     2.223470e-08  
        8.75               2.792686e-07     6.334849e-09     2.559962e-08     1.452197e-08  
        9.25               1.752495e-07     4.680775e-09     1.598106e-08     9.112975e-09  
        9.75               1.184188e-07     3.457855e-09     1.083887e-08     6.157776e-09  
          11               4.299522e-08     9.666877e-10     4.343484e-09     2.235752e-09  
          13               1.167760e-08     4.901328e-10     1.247785e-09     6.072350e-10  
          15               3.625281e-09     3.094412e-10     4.243669e-10     1.885146e-10  
          17               1.299063e-09     1.766136e-10     1.722721e-10     6.755126e-11  
#60-90%
! 7 To be marked as supplemental
        1.25               7.055408e-02     1.139415e-03     3.336766e-03     3.668812e-03  
        1.75               1.181323e-02     1.401658e-04     6.179036e-04     6.142882e-04  
