PPG064  Adler:2006hy  nucl-ex/0611031  LY10542  PRL.75.051902
PPG063  Adare:2007dg  hep-ex/0704.3599  DDR1024  PRD.76.051106
PPG062  Adare:2006ti  nucl-ex/0608033  LV10508  PRL.98.162301
PPG061  Adler:2007fj  0704.2894  CD10131  PRC.76.034903
PPG060  Adler:2006yt  hep-ex/0609031  LW10509  PRL.98.012002
PPG059  Adler:2006bd  hep-ex/0602004  DPR1001  PRD.73.091102(R)
PPG058  Adler:2006hi  nucl-ex/0603017  LQ10491  PRL.96.222301
PPG057  Adler:2006yu  hep-ex/0609032  DW10124  PRD.76.092002
PPG056  Adler:2005xv  nucl-ex/0510047  LK10411  PRL.96.032301
PPG055  Adler:2006bv  nucl-ex/0611006  CY10014  PRC.75.024909
PPG054  Adler:2006bw  nucl-ex/0611007  CY10016  PRC.76.034904
PPG052  Adler:2006as  nucl-ex/0605032  LS10846  PRL.98.132301
PPG051  Adler:2006hu  nucl-ex/0601037  LN10668  PRL.96.202301
PPG050  Adler:2005in  hep-ex/0507073  LG10471  PRL.95.202001
PPG049  Adler:2005qk  hep-ex/0502006  DBR1003  PRD.71.071102
PPG048  Adcox:2004mh  nucl-ex/0410003  NUPHA9925  NPA.2005.03.086
PPG047  Adler:2004cj  nucl-ex/0411040  LY9417  PRL.94.232302
PPG046  Adler:2005rg  nucl-ex/0508019  LH10448  PRL.96.032302
PPG044  Adler:2006wg  nucl-ex/0610036  LX10609  PRL.98.172302
PPG043  Afanasiev:2009wq  nucl-ex/0905.1070  CE10172  PRC.80.024909
PPG042  Adler:2005ig  nucl-ex/0503003  LC10178  PRL.94.232301
PPG041  Adler:2007aa  nucl-ex/0708.2416  CH10118  PRC.77.014905
PPG040  Adler:2005ab  nucl-ex/0502009  CB10013  PRC.72.024901
PPG039  Adler:2005ad  nucl-ex/0510021  CK10018  PRC.73.054903
PPG038  Adler:2005ph  nucl-ex/0507032  LG10866  PRL.96.012304
PPG037  Adler:2005fy  hep-ex/0508034  LH10414  PRL.96.032001
PPG036  Adler:2004eh  nucl-ex/0411054  LY9629  PRL.94.082302
PPG035  Adler:2004ta  nucl-ex/0409028  LW9615  PRL.94.082301
PPG034  Afanasiev:2007wi  0712.3033  LM11416  PRL.101.082301
PPG033  Adler:2004zd  nucl-ex/0408007  LV9093  PRL.71.051902
PPG032  Adler:2005ee  nucl-ex/0507004  LG10034  PRL.97.052301
PPG031  Adler:2004ps  hep-ex/0404027  LR9457  PRL.93.202002
PPG030  Adler:2006xd  nucl-ex/0603010  CQ10015  PRC.74.024904
PPG029  Adler:2006sc  hep-ex/0605039  DS10112  PRD.74.072002
PPG028  Adler:2003ii  nucl-ex/0306021  LF9392  PRL.91.072303
PPG027  Adler:2003xq  nucl-ex/0310005  LK9030  PRL.93.092301
PPG026  Adler:2003cb  nucl-ex/0307022  CG8980  PRC.69.034909
PPG024  Adler:2003pb  hep-ex/0304038  LD9589  PRL.91.241803
PPG023  Adler:2003au  nucl-ex/0308006  CH8915  PRC.69.034910
PPG022  Adler:2003kt  nucl-ex/0305013  LE9334  PRL.91.182301
PPG021  Adler:2004rq  nucl-ex/0401003  LN8952  PRL.93.152302
PPG020  Adler:2004uy  nucl-ex/0406004  LT8921  PRL.94.122302
PPG019  Adler:2004zn  nucl-ex/0409015  CW8959  PRC.71.049901
PPG018  Adler:2003rc  nucl-ex/0305030  CE8957  PRC.69.014901
PPG017  Adler:2003qs  hep-ex/0307019  LG9128&  PRL.92.051802
PPG016  Adler:2004hv  nucl-ex/0410012  CX8917  PRC.72.014903
PPG015  Adler:2003kg  nucl-ex/0305036  LE9690  PRL.91.172301
PPG014  Adler:2003qi  nucl-ex/0304022  LD9590  PRL.91.172301
PPG013  Adcox:2002pe  nucl-ex/0207009  PLB19757  PLB.561.82
PPG012  Adcox:2002au  nucl-ex/0204007  LR8445  PRL.89.092302
PPG011  Adcox:2002cg  nucl-ex/0202002  LP8111  PRL.88.192303
PPG010  Adcox:2002uc  nucl-ex/0201008  LN8266  PRL.88.192302
PPG009  Adcox:2003nr  nucl-ex/0307010  CG8922  PRC.69.024904
PPG007  Adcox:2002mm  nucl-ex/0203014  LQ8479  PRL.89.082301
PPG006  Adcox:2001mf  nucl-ex/0112006  LM8351  PRL.88.242301
PPG005  Adcox:2002pa  nucl-ex/0203015  CQ8045  PRC.66.024901
PPG004  Adcox:2002ms  nucl-ex/0204005  LR8296  PRL.89.212301
PPG003  Adcox:2001jp  nucl-ex/0109003  LJ8056  PRL.88.022301
PPG002  Adcox:2001ry  nucl-ex/0104015  LD8416  PRL.87.052301
PPG001  Adcox:2000sp  nucl-ex/0012008  LZ7574  PRL.86.3500
